Student ID,Student Name,Date,2023-12-26
83131147,Deepak,2023-12-26,A,A
27463942,Harry,2023-12-26,A,A
48511937,Aditya,2023-12-26,A,A
52851410,Prakash,2023-12-26,A,A
46126587,Diya,2023-12-26,A,A
91595910,Prakash,2023-12-26,A,A
43413832,Prakash,2023-12-26,A,A
8383443,Harry,2023-12-26,A,A
86715363,Aryan,2023-12-26,A,A
93477577,Prakash,2023-12-26,A,A
99245204,Prakash,2023-12-26,A,A
11914564,Deepak,2023-12-26,A,A
1862314,Aditya,2023-12-26,A,A
29846441,Prakash,2023-12-26,A,A
22778509,Ravi,2023-12-26,A,A
13793217,Deepak,2023-12-26,A,A
2369306,Aryan,2023-12-26,A,A
92753785,Harry,2023-12-26,A,A
39817135,Deepak,2023-12-26,A,A
76300666,Aditya,2023-12-26,A,A
83442270,Ravi,2023-12-26,A,A
81416090,Deepak,2023-12-26,A,A
22547651,Priya,2023-12-26,A,A
48554229,Priya,2023-12-26,A,A
7116675,Payal,2023-12-26,A,A
723170,Diya,2023-12-26,A,A
94654864,Priya,2023-12-26,A,A
3893371,Diya,2023-12-26,A,A
40971972,Diya,2023-12-26,A,A
66898391,Rani,2023-12-26,A,A
7279726,Diya,2023-12-26,A,A
48650060,Rani,2023-12-26,A,A
39902329,Payal,2023-12-26,A,A
85741670,Rani,2023-12-26,A,A
798769,Priya,2023-12-26,A,A
51953774,Prakash,2023-12-26,A,A
90993467,Deepak,2023-12-26,A,A
56138130,Diya,2023-12-26,A,A
45857446,Deepak,2023-12-26,A,A
31924455,Rani,2023-12-26,A,A
25634228,Ravi,2023-12-26,A,A
99004739,Ravi,2023-12-26,A,A
90376572,Rani,2023-12-26,A,A
65971570,Ravi,2023-12-26,A,A
38828631,Aditya,2023-12-26,A,A
44412730,Priya,2023-12-26,A,A
51268348,Aditya,2023-12-26,A,A
48532535,Harry,2023-12-26,A,A
61517586,Aryan,2023-12-26,A,A
13955845,Prakash,2023-12-26,A,A
85576522,Payal,2023-12-26,A,A
2700920,Rani,2023-12-26,A,A
88152104,Rani,2023-12-26,A,A
65401510,Harry,2023-12-26,A,A
98026891,Rani,2023-12-26,A,P
24274029,Deepak,2023-12-26,P,P
27468012,Rani,2023-12-26,A,P
87819425,Priya,2023-12-26,A,P
